,Country,Medal Type,Value
0,USA,Gold,46
1,USA,Silver,29
2,USA,Bronze,29
3,CHN,Gold,38
4,CHN,Silver,27
5,CHN,Bronze,23
6,RUS,Gold,24
7,RUS,Silver,26
8,RUS,Bronze,32
9,GBR,Gold,29
10,GBR,Silver,17
11,GBR,Bronze,19
12,GER,Gold,11
13,GER,Silver,19
14,GER,Bronze,14
15,JPN,Gold,7
16,JPN,Silver,14
17,JPN,Bronze,17
18,AUS,Gold,7
19,AUS,Silver,16
20,AUS,Bronze,12
21,FRA,Gold,11
22,FRA,Silver,11
23,FRA,Bronze,12
24,KOR,Gold,13
25,KOR,Silver,8
26,KOR,Bronze,7
27,ITA,Gold,8
28,ITA,Silver,9
29,ITA,Bronze,11
